Sensor_Id,Sensor_Name,Upper_Node,Bottom_Node,Index,Dist,QRush,QMax
41,F7_8_3,7,8,3,22.757,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
42,F7_8_4,7,8,4,30.343,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
43,F7_8_5,7,8,5,37.929,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
44,F7_8_6,7,8,6,45.514,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
45,F20_21_1,20,21,1,5.192,"19    0.0066
Name: Qrush, dtype: float64","19    0.0132
Name: Qmax, dtype: float64"
46,F20_21_2,20,21,2,10.383,"19    0.0066
Name: Qrush, dtype: float64","19    0.0132
Name: Qmax, dtype: float64"
47,F20_21_3,20,21,3,15.575,"19    0.0066
Name: Qrush, dtype: float64","19    0.0132
Name: Qmax, dtype: float64"
48,F20_21_4,20,21,4,20.767,"19    0.0066
Name: Qrush, dtype: float64","19    0.0132
Name: Qmax, dtype: float64"
49,F20_21_5,20,21,5,25.958,"19    0.0066
Name: Qrush, dtype: float64","19    0.0132
Name: Qmax, dtype: float64"
50,F9_10_1,9,10,1,5.75,"8    0.0017
Name: Qrush, dtype: float64","8    0.0034
Name: Qmax, dtype: float64"
51,F9_10_2,9,10,2,11.5,"8    0.0017
Name: Qrush, dtype: float64","8    0.0034
Name: Qmax, dtype: float64"
52,F9_10_3,9,10,3,17.25,"8    0.0017
Name: Qrush, dtype: float64","8    0.0034
Name: Qmax, dtype: float64"
53,F9_10_4,9,10,4,23.0,"8    0.0017
Name: Qrush, dtype: float64","8    0.0034
Name: Qmax, dtype: float64"
54,F9_10_5,9,10,5,28.75,"8    0.0017
Name: Qrush, dtype: float64","8    0.0034
Name: Qmax, dtype: float64"
55,F10_11_1,10,11,1,5.829,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
56,F10_11_2,10,11,2,11.657,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
57,F10_11_3,10,11,3,17.486,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
58,F10_11_4,10,11,4,23.314,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
59,F10_11_5,10,11,5,29.143,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
60,F10_11_6,10,11,6,34.971,"9    0.0028
Name: Qrush, dtype: float64","9    0.0056
Name: Qmax, dtype: float64"
61,F11_12_1,11,12,1,5.9,"10    0.0035
Name: Qrush, dtype: float64","10    0.007
Name: Qmax, dtype: float64"
62,F11_12_2,11,12,2,11.8,"10    0.0035
Name: Qrush, dtype: float64","10    0.007
Name: Qmax, dtype: float64"
63,F11_12_3,11,12,3,17.7,"10    0.0035
Name: Qrush, dtype: float64","10    0.007
Name: Qmax, dtype: float64"
64,F11_12_4,11,12,4,23.6,"10    0.0035
Name: Qrush, dtype: float64","10    0.007
Name: Qmax, dtype: float64"
65,F11_12_5,11,12,5,29.5,"10    0.0035
Name: Qrush, dtype: float64","10    0.007
Name: Qmax, dtype: float64"
66,F12_14_1,12,14,1,6.629,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
67,F12_14_2,12,14,2,13.257,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
68,F12_14_3,12,14,3,19.886,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
69,F12_14_4,12,14,4,26.514,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
70,F12_14_5,12,14,5,33.143,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
71,F12_14_6,12,14,6,39.771,"11    0.0044
Name: Qrush, dtype: float64","11    0.0088
Name: Qmax, dtype: float64"
72,F14_17_1,14,17,1,5.167,"13    0.0054
Name: Qrush, dtype: float64","13    0.0108
Name: Qmax, dtype: float64"
73,F14_17_2,14,17,2,10.333,"13    0.0054
Name: Qrush, dtype: float64","13    0.0108
Name: Qmax, dtype: float64"
74,F14_17_3,14,17,3,15.5,"13    0.0054
Name: Qrush, dtype: float64","13    0.0108
Name: Qmax, dtype: float64"
75,F14_17_4,14,17,4,20.667,"13    0.0054
Name: Qrush, dtype: float64","13    0.0108
Name: Qmax, dtype: float64"
76,F14_17_5,14,17,5,25.833,"13    0.0054
Name: Qrush, dtype: float64","13    0.0108
Name: Qmax, dtype: float64"
77,F13_14_1,13,14,1,6.229,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
78,F13_14_2,13,14,2,12.457,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
79,F13_14_3,13,14,3,18.686,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
80,F13_14_4,13,14,4,24.914,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
81,F13_14_5,13,14,5,31.143,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
82,F13_14_6,13,14,6,37.371,"12    0.0008
Name: Qrush, dtype: float64","12    0.0016
Name: Qmax, dtype: float64"
83,F17_19_1,17,19,1,2.117,"16    0.0059
Name: Qrush, dtype: float64","16    0.0118
Name: Qmax, dtype: float64"
84,F17_19_2,17,19,2,4.233,"16    0.0059
Name: Qrush, dtype: float64","16    0.0118
Name: Qmax, dtype: float64"
85,F17_19_3,17,19,3,6.35,"16    0.0059
Name: Qrush, dtype: float64","16    0.0118
Name: Qmax, dtype: float64"
86,F17_19_4,17,19,4,8.467,"16    0.0059
Name: Qrush, dtype: float64","16    0.0118
Name: Qmax, dtype: float64"
87,F17_19_5,17,19,5,10.583,"16    0.0059
Name: Qrush, dtype: float64","16    0.0118
Name: Qmax, dtype: float64"
88,F15_16_1,15,16,1,6.45,"14    0.0004
Name: Qrush, dtype: float64","14    0.0008
Name: Qmax, dtype: float64"
89,F15_16_2,15,16,2,12.9,"14    0.0004
Name: Qrush, dtype: float64","14    0.0008
Name: Qmax, dtype: float64"
90,F15_16_3,15,16,3,19.35,"14    0.0004
Name: Qrush, dtype: float64","14    0.0008
Name: Qmax, dtype: float64"
91,F15_16_4,15,16,4,25.8,"14    0.0004
Name: Qrush, dtype: float64","14    0.0008
Name: Qmax, dtype: float64"
92,F15_16_5,15,16,5,32.25,"14    0.0004
Name: Qrush, dtype: float64","14    0.0008
Name: Qmax, dtype: float64"
93,F16_17_1,16,17,1,2.4,"15    0.0005
Name: Qrush, dtype: float64","15    0.001
Name: Qmax, dtype: float64"
94,F16_17_2,16,17,2,4.8,"15    0.0005
Name: Qrush, dtype: float64","15    0.001
Name: Qmax, dtype: float64"
95,F19_21_1,19,21,1,6.336,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
96,F19_21_2,19,21,2,12.671,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
97,F19_21_3,19,21,3,19.007,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
98,F19_21_4,19,21,4,25.343,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
99,F19_21_5,19,21,5,31.679,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
100,F19_21_6,19,21,6,38.014,"18    0.0072
Name: Qrush, dtype: float64","18    0.0144
Name: Qmax, dtype: float64"
101,F18_19_1,18,19,1,6.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
102,F18_19_2,18,19,2,12.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
103,F18_19_3,18,19,3,18.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
104,F18_19_4,18,19,4,24.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
105,F18_19_5,18,19,5,30.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
106,F18_19_6,18,19,6,36.0,"17    0.0006
Name: Qrush, dtype: float64","17    0.0012
Name: Qmax, dtype: float64"
107,F21_40_1,21,40,1,5.817,"20    0.014
Name: Qrush, dtype: float64","20    0.028
Name: Qmax, dtype: float64"
108,F21_40_2,21,40,2,11.633,"20    0.014
Name: Qrush, dtype: float64","20    0.028
Name: Qmax, dtype: float64"
109,F21_40_3,21,40,3,17.45,"20    0.014
Name: Qrush, dtype: float64","20    0.028
Name: Qmax, dtype: float64"
110,F21_40_4,21,40,4,23.267,"20    0.014
Name: Qrush, dtype: float64","20    0.028
Name: Qmax, dtype: float64"
111,F21_40_5,21,40,5,29.083,"20    0.014
Name: Qrush, dtype: float64","20    0.028
Name: Qmax, dtype: float64"
112,F40_46_1,40,46,1,6.1,"39    0.0172
Name: Qrush, dtype: float64","39    0.0344
Name: Qmax, dtype: float64"
113,F40_46_2,40,46,2,12.2,"39    0.0172
Name: Qrush, dtype: float64","39    0.0344
Name: Qmax, dtype: float64"
114,F40_46_3,40,46,3,18.3,"39    0.0172
Name: Qrush, dtype: float64","39    0.0344
Name: Qmax, dtype: float64"
115,F40_46_4,40,46,4,24.4,"39    0.0172
Name: Qrush, dtype: float64","39    0.0344
Name: Qmax, dtype: float64"
116,F40_46_5,40,46,5,30.5,"39    0.0172
Name: Qrush, dtype: float64","39    0.0344
Name: Qmax, dtype: float64"
117,F22_23_1,22,23,1,9.071,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
118,F22_23_2,22,23,2,18.143,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
119,F22_23_3,22,23,3,27.214,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
120,F22_23_4,22,23,4,36.286,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
121,F22_23_5,22,23,5,45.357,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
122,F22_23_6,22,23,6,54.429,"21    0.002
Name: Qrush, dtype: float64","21    0.004
Name: Qmax, dtype: float64"
123,F23_24_1,23,24,1,6.067,"22    0.0026
Name: Qrush, dtype: float64","22    0.0052
Name: Qmax, dtype: float64"
124,F23_24_2,23,24,2,12.133,"22    0.0026
Name: Qrush, dtype: float64","22    0.0052
Name: Qmax, dtype: float64"
125,F23_24_3,23,24,3,18.2,"22    0.0026
Name: Qrush, dtype: float64","22    0.0052
Name: Qmax, dtype: float64"
126,F23_24_4,23,24,4,24.267,"22    0.0026
Name: Qrush, dtype: float64","22    0.0052
Name: Qmax, dtype: float64"
127,F23_24_5,23,24,5,30.333,"22    0.0026
Name: Qrush, dtype: float64","22    0.0052
Name: Qmax, dtype: float64"
128,F24_26_1,24,26,1,5.667,"23    0.0031
Name: Qrush, dtype: float64","23    0.0062
Name: Qmax, dtype: float64"
129,F24_26_2,24,26,2,11.333,"23    0.0031
Name: Qrush, dtype: float64","23    0.0062
Name: Qmax, dtype: float64"
130,F24_26_3,24,26,3,17.0,"23    0.0031
Name: Qrush, dtype: float64","23    0.0062
Name: Qmax, dtype: float64"
131,F24_26_4,24,26,4,22.667,"23    0.0031
Name: Qrush, dtype: float64","23    0.0062
Name: Qmax, dtype: float64"
132,F24_26_5,24,26,5,28.333,"23    0.0031
Name: Qrush, dtype: float64","23    0.0062
Name: Qmax, dtype: float64"
133,F26_27_1,26,27,1,5.783,"25    0.0049
Name: Qrush, dtype: float64","25    0.0098
Name: Qmax, dtype: float64"
134,F26_27_2,26,27,2,11.567,"25    0.0049
Name: Qrush, dtype: float64","25    0.0098
Name: Qmax, dtype: float64"
135,F26_27_3,26,27,3,17.35,"25    0.0049
Name: Qrush, dtype: float64","25    0.0098
Name: Qmax, dtype: float64"
136,F26_27_4,26,27,4,23.133,"25    0.0049
Name: Qrush, dtype: float64","25    0.0098
Name: Qmax, dtype: float64"
137,F26_27_5,26,27,5,28.917,"25    0.0049
Name: Qrush, dtype: float64","25    0.0098
Name: Qmax, dtype: float64"
138,F25_26_1,25,26,1,8.814,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
139,F25_26_2,25,26,2,17.629,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
140,F25_26_3,25,26,3,26.443,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
141,F25_26_4,25,26,4,35.257,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
142,F25_26_5,25,26,5,44.071,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
143,F25_26_6,25,26,6,52.886,"24    0.0011
Name: Qrush, dtype: float64","24    0.0022
Name: Qmax, dtype: float64"
144,F27_32_1,27,32,1,5.75,"26    0.0056
Name: Qrush, dtype: float64","26    0.0112
Name: Qmax, dtype: float64"
145,F27_32_2,27,32,2,11.5,"26    0.0056
Name: Qrush, dtype: float64","26    0.0112
Name: Qmax, dtype: float64"
146,F27_32_3,27,32,3,17.25,"26    0.0056
Name: Qrush, dtype: float64","26    0.0112
Name: Qmax, dtype: float64"
147,F27_32_4,27,32,4,23.0,"26    0.0056
Name: Qrush, dtype: float64","26    0.0112
Name: Qmax, dtype: float64"
148,F27_32_5,27,32,5,28.75,"26    0.0056
Name: Qrush, dtype: float64","26    0.0112
Name: Qmax, dtype: float64"
149,F32_33_1,32,33,1,6.614,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
150,F32_33_2,32,33,2,13.229,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
151,F32_33_3,32,33,3,19.843,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
152,F32_33_4,32,33,4,26.457,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
153,F32_33_5,32,33,5,33.071,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
154,F32_33_6,32,33,6,39.686,"31    0.0084
Name: Qrush, dtype: float64","31    0.0168
Name: Qmax, dtype: float64"
155,F28_31_1,28,31,1,4.467,"27    0.0002
Name: Qrush, dtype: float64","27    0.0004
Name: Qmax, dtype: float64"
156,F28_31_2,28,31,2,8.933,"27    0.0002
Name: Qrush, dtype: float64","27    0.0004
Name: Qmax, dtype: float64"
157,F28_31_3,28,31,3,13.4,"27    0.0002
Name: Qrush, dtype: float64","27    0.0004
Name: Qmax, dtype: float64"
158,F28_31_4,28,31,4,17.867,"27    0.0002
Name: Qrush, dtype: float64","27    0.0004
Name: Qmax, dtype: float64"
159,F28_31_5,28,31,5,22.333,"27    0.0002
Name: Qrush, dtype: float64","27    0.0004
Name: Qmax, dtype: float64"
160,F31_32_1,31,32,1,6.433,"30    0.0022
Name: Qrush, dtype: float64","30    0.0044
Name: Qmax, dtype: float64"
161,F31_32_2,31,32,2,12.867,"30    0.0022
Name: Qrush, dtype: float64","30    0.0044
Name: Qmax, dtype: float64"
162,F31_32_3,31,32,3,19.3,"30    0.0022
Name: Qrush, dtype: float64","30    0.0044
Name: Qmax, dtype: float64"
163,F31_32_4,31,32,4,25.733,"30    0.0022
Name: Qrush, dtype: float64","30    0.0044
Name: Qmax, dtype: float64"
164,F31_32_5,31,32,5,32.167,"30    0.0022
Name: Qrush, dtype: float64","30    0.0044
Name: Qmax, dtype: float64"
165,F29_31_1,29,31,1,5.907,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
166,F29_31_2,29,31,2,11.814,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
167,F29_31_3,29,31,3,17.721,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
168,F29_31_4,29,31,4,23.629,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
169,F29_31_5,29,31,5,29.536,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
170,F29_31_6,29,31,6,35.443,"28    0.001
Name: Qrush, dtype: float64","28    0.002
Name: Qmax, dtype: float64"
171,F30_31_1,30,31,1,5.775,"29    0.0005
Name: Qrush, dtype: float64","29    0.001
Name: Qmax, dtype: float64"
172,F30_31_2,30,31,2,11.55,"29    0.0005
Name: Qrush, dtype: float64","29    0.001
Name: Qmax, dtype: float64"
173,F30_31_3,30,31,3,17.325,"29    0.0005
Name: Qrush, dtype: float64","29    0.001
Name: Qmax, dtype: float64"
174,F30_31_4,30,31,4,23.1,"29    0.0005
Name: Qrush, dtype: float64","29    0.001
Name: Qmax, dtype: float64"
175,F30_31_5,30,31,5,28.875,"29    0.0005
Name: Qrush, dtype: float64","29    0.001
Name: Qmax, dtype: float64"
176,F33_60_1,33,60,1,8.671,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
177,F33_60_2,33,60,2,17.343,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
178,F33_60_3,33,60,3,26.014,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
179,F33_60_4,33,60,4,34.686,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
180,F33_60_5,33,60,5,43.357,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
181,F33_60_6,33,60,6,52.029,"32    0.0096
Name: Qrush, dtype: float64","32    0.0192
Name: Qmax, dtype: float64"
182,F60_64_1,60,64,1,4.75,"59    0.0122
Name: Qrush, dtype: float64","59    0.0244
Name: Qmax, dtype: float64"
183,F60_64_2,60,64,2,9.5,"59    0.0122
Name: Qrush, dtype: float64","59    0.0244
Name: Qmax, dtype: float64"
184,F60_64_3,60,64,3,14.25,"59    0.0122
Name: Qrush, dtype: float64","59    0.0244
Name: Qmax, dtype: float64"
185,F60_64_4,60,64,4,19.0,"59    0.0122
Name: Qrush, dtype: float64","59    0.0244
Name: Qmax, dtype: float64"
186,F60_64_5,60,64,5,23.75,"59    0.0122
Name: Qrush, dtype: float64","59    0.0244
Name: Qmax, dtype: float64"
187,F34_36_1,34,36,1,8.619,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
188,F34_36_2,34,36,2,17.237,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
189,F34_36_3,34,36,3,25.856,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
190,F34_36_4,34,36,4,34.474,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
191,F34_36_5,34,36,5,43.093,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
192,F34_36_6,34,36,6,51.711,"33    0.0012
Name: Qrush, dtype: float64","33    0.0024
Name: Qmax, dtype: float64"
193,F36_37_1,36,37,1,4.972,"35    0.0018
Name: Qrush, dtype: float64","35    0.0036
Name: Qmax, dtype: float64"
194,F36_37_2,36,37,2,9.943,"35    0.0018
Name: Qrush, dtype: float64","35    0.0036
Name: Qmax, dtype: float64"
195,F36_37_3,36,37,3,14.915,"35    0.0018
Name: Qrush, dtype: float64","35    0.0036
Name: Qmax, dtype: float64"
196,F36_37_4,36,37,4,19.887,"35    0.0018
Name: Qrush, dtype: float64","35    0.0036
Name: Qmax, dtype: float64"
197,F36_37_5,36,37,5,24.858,"35    0.0018
Name: Qrush, dtype: float64","35    0.0036
Name: Qmax, dtype: float64"
198,F35_36_1,35,36,1,2.95,"34    0.0003
Name: Qrush, dtype: float64","34    0.0006
Name: Qmax, dtype: float64"
199,F35_36_2,35,36,2,5.9,"34    0.0003
Name: Qrush, dtype: float64","34    0.0006
Name: Qmax, dtype: float64"
200,F35_36_3,35,36,3,8.85,"34    0.0003
Name: Qrush, dtype: float64","34    0.0006
Name: Qmax, dtype: float64"
201,F35_36_4,35,36,4,11.8,"34    0.0003
Name: Qrush, dtype: float64","34    0.0006
Name: Qmax, dtype: float64"
202,F35_36_5,35,36,5,14.75,"34    0.0003
Name: Qrush, dtype: float64","34    0.0006
Name: Qmax, dtype: float64"
203,F39_40_1,39,40,1,7.497,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
204,F39_40_2,39,40,2,14.994,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
205,F39_40_3,39,40,3,22.491,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
206,F39_40_4,39,40,4,29.989,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
207,F39_40_5,39,40,5,37.486,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
208,F39_40_6,39,40,6,44.983,"38    0.003
Name: Qrush, dtype: float64","38    0.006
Name: Qmax, dtype: float64"
209,F38_39_1,38,39,1,3.75,"37    0.0003
Name: Qrush, dtype: float64","37    0.0006
Name: Qmax, dtype: float64"
210,F38_39_2,38,39,2,7.5,"37    0.0003
Name: Qrush, dtype: float64","37    0.0006
Name: Qmax, dtype: float64"
211,F38_39_3,38,39,3,11.25,"37    0.0003
Name: Qrush, dtype: float64","37    0.0006
Name: Qmax, dtype: float64"
212,F38_39_4,38,39,4,15.0,"37    0.0003
Name: Qrush, dtype: float64","37    0.0006
Name: Qmax, dtype: float64"
213,F38_39_5,38,39,5,18.75,"37    0.0003
Name: Qrush, dtype: float64","37    0.0006
Name: Qmax, dtype: float64"
214,F46_51_1,46,51,1,6.483,"45    0.0207
Name: Qrush, dtype: float64","45    0.0414
Name: Qmax, dtype: float64"
215,F46_51_2,46,51,2,12.967,"45    0.0207
Name: Qrush, dtype: float64","45    0.0414
Name: Qmax, dtype: float64"
